"hour_min","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","Label","hour","min","year_mon","month","year"
0,2569.99987793,2779.999816895,1769.9999694825,1521.4452372235,1378.34636230483,2132.499938965,2814.999938965,2770,332.999984741,360.4999923705,370.2499923705,9665.8006266265,10432.2709960815,9982.41089679967,2.2674998939025,68.3314388275183,25.8072391828033,5806.02549641967,6441.04169108067,6694.99987793,2414.27655436183,2434.86196695967,2161.52542928083,2.9424999356275,2.10136831005567,1.96360493898565,2.00749990344,1.386749953032,0.52959999628365,20384.1840169283,14252.78709308,14904.48693032,213.844113922067,2074.79965225866,2080.30686136885,11.69999957085,34.0024163564133,34.27499866485,4700.7311584475,4984.8357177735,4920.78036499083,4952.4593587245,5292.33799641917,5184.0157470705,5130.69592081717,5680.66546427383,5612.9914835615,5692.43860677067,6269.4220275885,5159.66943562817,12.8499996662,13.774999618525,5909.03418985833,6472.557525635,6208.5170837405,5348.77033793125,6470.482273356,6605.47878418033,7754.79316609783,8176.43554687433,8051.22390340283,5489.34313151033,5993.60778401767,5600.96365559883,5602.5,7642.71133626333,6321.82424316483,26474.998535175,27224.998535175,26899.999511725,2624.999938965,0,0,0,20160700,7,2016
15,2569.99987793,2772.13346761083,1767.53586018883,1513.51747233067,1384.44135131867,2146.9860229495,2817.765930176,2745.710135905,333.002251688433,360.4999923705,370.2499923705,10334.7997314403,10983.513167303,10754.952905264,2.25996766288967,68.225000381475,25.724998950975,5817.15983072983,6481.25724283883,6730.41455078183,2431.70805257167,2390.302372233,2152.09548136383,2.94061520496917,2.12000000477,1.9849998950975,2.00749990344,1.386749953032,0.52959999628365,20018.4030598967,13922.1884114483,14613.18263345,214,2447.31038004583,2452.8579711915,11.69999957085,34.3662090301617,35.0938488006667,5363.15424601217,5735.47003580733,5585.43686116567,4921.79273071317,5277.45732421933,5125.05929361983,5118.240492757,5718.1746866865,5646.8688313805,5647.1977661135,6156.53732910183,5065.72984415667,12.8499996662,13.73786018689,5975.84414062533,6680.63236084033,6350.42530517417,5271.40349934892,6366.442358399,6666.70308024183,7340.871118165,8167.05633951917,7665.36904703733,5606.43217569967,6037.3661458335,5683.3023356125,5602.5,7689.34295247433,6284.69527994867,26158.9919270983,26925.1219726717,26569.4213541733,2607.6735880535,0,0,15,20160700,7,2016
30,2569.99987793,2762.499938965,1471.11917940782,1268.12782503808,1205.71419525145,2147.49987793,2819.999938965,2722.83649088533,332.999984741,360.440619913617,370.2499923705,11079.5685546687,12143.140315752,11317.7464843535,2.2599999308575,68.225000381475,25.741476694765,5817.49975586,6482.49987793,6734.99975586,2367.24712727933,2383.89197998067,2084.9330708825,2.939999878405,2.12000000477,1.9849998950975,2.00749990344,1.386749953032,0.52959999628365,20056.4698893267,14171.35076496,14638.5345377483,214,2434.91105143217,2448.224922689,11.6840135574333,34.47905610403,35.645157750465,5343.9561279295,5717.75080362983,5454.30257364967,5498.77074991917,5960.33395589233,5718.25362345333,5100.91154581667,5598.04015706417,5515.977473958,6073.0400553385,6653.9951456705,5538.96122843367,12.8338722387817,13.6660339514367,6634.693192547,7422.96624348733,7001.13262532333,5022.75962320983,6121.75898844417,6341.2529988605,7153.36030273333,7808.834700522,7445.69354654983,5906.35133463533,6347.03463134783,5968.428108724,5646.59813639333,7824.25091959683,6399.9885986335,22015.902421069,22685.226269545,22404.52395834,2604.999938965,0,0,30,20160700,7,2016
45,2571.32362467483,2762.499938965,1715.94623107928,1484.12026414884,1362.34678446457,2149.03354085333,2819.999938965,2710,333.177592468133,359.450780232533,370.2499923705,11526.4707193733,12369.4438476567,11544.85568031,2.37780527273817,68.09716250103,25.87499904635,5817.49975586,6482.49987793,6734.99975586,2350.81857503317,2337.46344807917,2065.71648966483,2.939999878405,2.12000000477,1.9849998950975,2.00749990344,1.386749953032,0.52959999628365,20009.7614583333,14053.2732584433,14528.1238769417,218.470569864917,2459.70889892583,2463.05855712933,11.5749993324,34.749999046325,35.97499847415,5536.94060668983,5858.7981567385,5800.074682617,5751.0495402015,6205.99056396483,5968.980554199,5047.62584228567,5679.15435791067,5629.96498413083,5974.23942871067,6489.9760498045,5382.65589599717,12.62499952315,13.5999996662,5852.73902587767,6567.9625183085,6308.75780232817,5516.09646301258,6675.3966654465,6991.3324096675,7395.91319376617,8118.9934448235,7791.8465738935,5818.01849365267,6299.37659912183,5904.903157552,5701.83244628933,7832.49975586,6356.29702148533,25749.99902345,26549.998535175,26174.99902345,2604.999938965,0,0,45,20160700,7,2016
100,2574.999816895,2762.499938965,1401.3340799333,1200.17283840178,1162.36057281502,2149.999816895,2819.999938965,2711.592211914,333.2499923705,359.249984741,370.2499923705,11549.99926755,12350,11816.2908202933,2.419999957085,68.1715174357283,25.87499904635,5817.49975586,6482.49987793,6734.99975586,2429.768094889,2419.034655762,2218.80311075833,2.939999878405,2.12000000477,1.9849998950975,2.00749990344,1.386749953032,0.52959999628365,19608.996386725,13835.892236315,14232.7219889133,215.194497172033,2471.04281005867,2467.26785074883,11.5941629091667,34.718020375565,35.8906512578567,5150.80661824567,5481.186472575,5348.97536621083,5559.31157226567,5916.92107747417,5779.713256836,5600.71361490827,6058.42249348867,5990.43822021483,6142.46190389033,6714.59168701183,5510.42828369117,12.6053102652117,13.5180902322183,5683.12679036467,6363.68569539633,6034.947615561,4738.38697713268,5881.6845947265,6056.18532308017,7564.67348632767,8371.46011148867,7877.90564778633,5667.32427978533,6091.84738566083,5713.16579182983,5704.99987793,7832.49975586,6342.712638347,20893.5338012783,21533.0860188913,21265.7996256632,2604.999938965,0,1,0,20160700,7,2016
115,2574.999816895,2762.499938965,1309.83372834542,1122.59580485029,1114.07474975568,2158.79936116583,2812.84073486333,2700.262483724,332.172436014717,359.249984741,370.242507934467,11326.996061175,12350,11529.07630207,2.419999957085,68.282490666725,25.9545794805167,5791.84253743533,6465.34000651117,6673.21918131567,2253.4271809895,2326.28715820333,2026.35553182,2.95837159554033,2.1113221128795,1.992756481967,2.0204225361345,1.41365327884897,0.528465249761997,19811.1168619883,14058.6010253783,14612.6911295367,197.567902755817,2468.01599121133,2464.596866862,11.42167000769,34.2582890192683,35.3539397557733,5843.6849934895,6254.99786783867,6098.89255371183,5502.91065266983,5903.56215006583,5652.21638183633,5435.2373453775,6044.53033447317,5983.91192220067,6208.70325927767,6740.109834799,5622.34958496117,12.6157082398583,13.499999523175,5487.72314859867,6128.068479411,5919.49156697467,4604.43995768242,5653.6226704925,5957.14763183567,7505.28759358633,7978.46760253767,7771.20749511783,5719.59942627,6211.47737630217,5854.6702351895,5704.99987793,7832.49975586,6342.49975586,20075.6457478962,20740.028043627,20437.9859537823,2604.999938965,0,1,15,20160700,7,2016
130,2574.69849446667,2762.499938965,1377.01233603166,1219.45411808068,1183.05726064057,2182.23186442083,2807.5,2667.499938965,331.4999923705,354.928287760317,371.334154256083,11560.9153808267,12350,11916.0357421783,2.37730613549533,68.36295483908,25.974999427825,5767.49987793,6447.49963379,6614.99975586,2264.40287475617,2296.8262329105,2023.509602865,3.0999998450275,2.04500001669,2.0524999201325,2.1188678622255,1.39414991438497,0.62424998730425,20081.15800782,14274.62027993,14720.0666829283,194.99999809275,2457.1845214845,2435.908605957,11.3311210155467,33.850000381475,34.830195554115,5439.0558593755,5836.80062255883,5553.7916646325,5492.39343261767,5867.56635742217,5691.13098551467,5317.85378011133,5877.43335164383,5814.46366577067,5973.6595865885,6510.519545491,5385.084957886,12.58543899853,13.499999523175,5227.73487548767,5753.917013547,5546.86732177567,4536.17855529808,5561.3541727705,5689.78242187433,7150.137361653,7886.0791910805,7477.92867838617,5401.25562133833,5771.26592203783,5414.47932942783,5709.690917969,7848.48291015683,6321.25759277433,21003.2246053193,21725.3560831768,21374.249393723,2604.999938965,0,1,30,20160700,7,2016
145,2567.49987793,2762.499938965,1282.859965261,1101.69085604373,1104.53799692795,2194.99987793,2807.5,2667.499938965,331.4999923705,354.7499923705,372.2499923705,11715.57916664,12350,11974.99975585,2.3524999618525,68.5769660949767,25.974999427825,5767.49987793,6447.49963379,6610.89202474017,2184.05526123033,2288.74733072933,2040.93140462233,3.0999998450275,2.04500001669,2.0524999201325,2.1149999499325,1.39414991438497,0.62424998730425,19510.3180013,13866.0844401,14219.6969563733,165.465497970663,2432.6063354495,2426.94914550783,11.2999997139,33.8375340143883,34.7929614385117,5386.15832722933,5782.48582356833,5610.6611165365,5438.94260660867,5877.304164632,5641.78249511733,5296.964257813,5845.21057128917,5766.5189168295,5718.36100667333,6334.89439086933,5214.336220296,12.5470960458083,13.499999523175,4931.22743937267,5390.70686645467,5244.8891418455,4782.35067647297,5724.28719278983,5929.71833902983,7229.5475423175,7953.5378133125,7577.49409586883,5809.45102539117,6336.44397786533,5900.70170084683,5716.4155680345,7879.4210856125,6317.3385172535,19152.6734212343,19803.0379882873,19502.1525838258,2604.999938965,0,1,45,20160700,7,2016
200,2567.49987793,2762.499938965,935.266386604348,835.208135859495,891.318682352783,2194.99987793,2807.5,2667.499938965,331.4999923705,354.7499923705,372.2499923705,11931.6410155967,12297.4407714783,11761.9837727717,2.3524999618525,68.4499988556,25.9487868945133,5739.073592123,6423.86144205817,6602.49975586,2186.62984008817,2297.7286743165,1981.8089294435,3.0999998450275,2.09623373349567,1.94152041276317,2.1149999499325,1.39414991438497,0.62424998730425,19924.9498372417,13973.4676269367,14495.4383788867,164.425152206517,2429.12876383467,2418.737447103,11.2999997139,33.574999809275,34.7611326853567,5297.632578532,5575.6260437015,5439.47302449583,5434.25193277967,5842.6826700845,5646.946708171,5346.7820373535,5893.94515584333,5821.45301106733,5643.387827555,6185.76785278317,5077.22406107575,12.524999618525,13.499999523175,5430.09200032483,6028.74935912883,5727.4700561525,4583.23699137433,5661.60146280917,5872.6629455565,7401.14485270167,8217.89802652817,7744.66134846867,5471.38765869183,5938.71374918583,5540.417962646,5719.99975586,7872.49975586,6314.99963379,14781.2203084332,15268.9375569733,15084.3227417025,2604.999938965,0,2,0,20160700,7,2016
215,2567.49987793,2778.67839355483,1020.26028143572,1020.04659194971,1045.4457697552,2197.41428629567,2799.182364909,2659.70552978533,331.95550282785,354.7499923705,372.2499923705,10824.7889322833,11528.648909495,11424.99975585,2.41908892393117,68.4499988556,25.9999995232,5752.14194335967,6444.46062825583,6536.87082519533,2286.1279663085,2271.87013753267,2003.16369018517,3.06951424678283,2.09999999404,1.9274998903275,2.1149999499325,1.39414991438497,0.62424998730425,19895.3565429767,14140.3162434767,14633.4192382617,165.15420036325,2369.10529378283,2381.73887125667,11.2999997139,33.574999809275,34.6220967610617,5204.14150797583,5551.477740479,5387.32201945,5546.01231689433,5940.13037923167,5762.0420267745,5403.7026713055,5968.91479899117,5931.5542907715,5807.71479085283,6401.77539062533,5297.51899414117,12.524999618525,13.47987217904,4602.67792968667,5040.1158508305,4832.601747641,5295.36596679698,6399.49407348667,6675.507881674,7244.18175048967,7923.60961913833,7665.516625977,5557.79557698567,5961.0313924155,5581.59049886,5719.99975586,7872.49975586,6292.978645834,18591.6948974667,19203.6549764018,18897.282442233,2626.84048665383,0,2,15,20160700,7,2016
