,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
2016-07-01 07:00:00+00:00,55.2,0.0,48.68,0.79,clear-night,,0.0,0.0,,1010.21,Clear,55.2,1467356400,8.28,222.0,4.17
2016-07-01 08:00:00+00:00,55.06,0.0,49.47,0.81,clear-night,,0.0,0.0,,1010.05,Clear,55.06,1467360000,8.28,228.0,4.38
2016-07-01 09:00:00+00:00,54.56,0.15,48.45,0.8,clear-night,,0.0,0.0,,1009.81,Clear,54.56,1467363600,7.94,225.0,5.31
2016-07-01 10:00:00+00:00,54.62,0.31,49.67,0.83,partly-cloudy-night,,0.0,0.0,,1009.77,Partly Cloudy,54.62,1467367200,8.06,221.0,4.3
2016-07-01 11:00:00+00:00,54.46,0.15,49.87,0.84,clear-night,,0.0,0.0,,1009.83,Clear,54.46,1467370800,7.62,235.0,3.64
2016-07-01 12:00:00+00:00,54.25,0.15,49.67,0.84,clear-night,,0.0,0.0,,1010.15,Clear,54.25,1467374400,8.06,199.0,4.4
2016-07-01 13:00:00+00:00,53.68,0.31,49.86,0.87,partly-cloudy-day,,0.0,0.0,,1010.61,Partly Cloudy,53.68,1467378000,5.98,249.0,5.63
2016-07-01 14:00:00+00:00,55.12,0.31,50.52,0.84,partly-cloudy-day,,0.0,0.0,,1010.96,Partly Cloudy,55.12,1467381600,5.61,227.0,4.86
2016-07-01 15:00:00+00:00,55.74,0.31,49.1,0.78,partly-cloudy-day,,0.0,0.0,,1011.57,Partly Cloudy,55.74,1467385200,6.24,253.0,6.93
2016-07-01 16:00:00+00:00,56.25,0.31,48.67,0.76,partly-cloudy-day,,0.0,0.0,,1012.01,Partly Cloudy,56.25,1467388800,6.61,202.0,5.92
2016-07-01 17:00:00+00:00,57.15,0.31,49.11,0.74,partly-cloudy-day,,0.0,0.0,,1012.43,Partly Cloudy,57.15,1467392400,6.61,241.0,7.55
2016-07-01 18:00:00+00:00,57.19,0.19,47.42,0.7,clear-day,,0.0,0.0,,1012.75,Clear,57.19,1467396000,6.84,256.0,10.03
2016-07-01 19:00:00+00:00,58.44,0.15,48.39,0.69,clear-day,,0.0,0.0,,1013.1,Clear,58.44,1467399600,7.45,247.0,7.37
2016-07-01 20:00:00+00:00,59.52,0.15,48.52,0.67,clear-day,,0.0,0.0,,1013.04,Clear,59.52,1467403200,8.87,249.0,10.75
2016-07-01 21:00:00+00:00,59.8,0.15,48.04,0.65,clear-day,,0.0,0.0,,1012.76,Clear,59.8,1467406800,8.42,263.0,9.7
2016-07-01 22:00:00+00:00,60.45,0.15,47.76,0.63,clear-day,,0.0,0.0,,1012.23,Clear,60.45,1467410400,8.64,297.0,10.24
2016-07-01 23:00:00+00:00,65.49,0.19,53.2,0.65,clear-day,,0.0,0.0,,1011.67,Clear,65.49,1467414000,8.64,248.0,11.51
2016-07-02 00:00:00+00:00,63.49,0.19,52.67,0.68,clear-day,,0.0,0.0,,1011.39,Clear,63.49,1467417600,8.42,270.0,10.07
2016-07-02 01:00:00+00:00,61.57,0.15,52.17,0.71,clear-day,,0.0,0.0,,1010.94,Clear,61.57,1467421200,8.42,304.0,13.23
2016-07-02 02:00:00+00:00,58.42,0.15,50.76,0.76,clear-day,,0.0,0.0,,1011.17,Clear,58.42,1467424800,8.06,300.0,11.66
2016-07-02 03:00:00+00:00,56.89,0.15,50.63,0.8,clear-day,,0.0,0.0,,1011.36,Clear,56.89,1467428400,7.49,308.0,9.09
2016-07-02 04:00:00+00:00,54.48,0.15,49.16,0.82,clear-night,,0.0,0.0,,1011.65,Clear,54.48,1467432000,8.42,252.0,6.54
