"date","year","month","hour","apparentTemperature","cloudCover","dewPoint","humidity","icon","precipIntensity","precipProbability","pressure","summary","temperature","time","visibility","windBearing","windSpeed"
20160701,2016,7,7,55.2,0,48.68,0.79,"clear-night",0,0,1010.21,"Clear",55.2,1467356400,8.28,222,4.17
20160701,2016,7,8,55.06,0,49.47,0.81,"clear-night",0,0,1010.05,"Clear",55.06,1467360000,8.28,228,4.38
20160701,2016,7,9,54.56,0.15,48.45,0.8,"clear-night",0,0,1009.81,"Clear",54.56,1467363600,7.94,225,5.31
20160701,2016,7,10,54.62,0.31,49.67,0.83,"partly-cloudy-night",0,0,1009.77,"Partly Cloudy",54.62,1467367200,8.06,221,4.3
20160701,2016,7,11,54.46,0.15,49.87,0.84,"clear-night",0,0,1009.83,"Clear",54.46,1467370800,7.62,235,3.64
20160701,2016,7,12,54.25,0.15,49.67,0.84,"clear-night",0,0,1010.15,"Clear",54.25,1467374400,8.06,199,4.4
20160701,2016,7,13,53.68,0.31,49.86,0.87,"partly-cloudy-day",0,0,1010.61,"Partly Cloudy",53.68,1467378000,5.98,249,5.63
20160701,2016,7,14,55.12,0.31,50.52,0.84,"partly-cloudy-day",0,0,1010.96,"Partly Cloudy",55.12,1467381600,5.61,227,4.86
20160701,2016,7,15,55.74,0.31,49.1,0.78,"partly-cloudy-day",0,0,1011.57,"Partly Cloudy",55.74,1467385200,6.24,253,6.93
20160701,2016,7,16,56.25,0.31,48.67,0.76,"partly-cloudy-day",0,0,1012.01,"Partly Cloudy",56.25,1467388800,6.61,202,5.92
20160701,2016,7,17,57.15,0.31,49.11,0.74,"partly-cloudy-day",0,0,1012.43,"Partly Cloudy",57.15,1467392400,6.61,241,7.55
20160701,2016,7,18,57.19,0.19,47.42,0.7,"clear-day",0,0,1012.75,"Clear",57.19,1467396000,6.84,256,10.03
20160701,2016,7,19,58.44,0.15,48.39,0.69,"clear-day",0,0,1013.1,"Clear",58.44,1467399600,7.45,247,7.37
20160701,2016,7,20,59.52,0.15,48.52,0.67,"clear-day",0,0,1013.04,"Clear",59.52,1467403200,8.87,249,10.75
20160701,2016,7,21,59.8,0.15,48.04,0.65,"clear-day",0,0,1012.76,"Clear",59.8,1467406800,8.42,263,9.7
20160701,2016,7,22,60.45,0.15,47.76,0.63,"clear-day",0,0,1012.23,"Clear",60.45,1467410400,8.64,297,10.24
20160701,2016,7,23,65.49,0.19,53.2,0.65,"clear-day",0,0,1011.67,"Clear",65.49,1467414000,8.64,248,11.51
20160702,2016,7,0,63.49,0.19,52.67,0.68,"clear-day",0,0,1011.39,"Clear",63.49,1467417600,8.42,270,10.07
20160702,2016,7,1,61.57,0.15,52.17,0.71,"clear-day",0,0,1010.94,"Clear",61.57,1467421200,8.42,304,13.23
20160702,2016,7,2,58.42,0.15,50.76,0.76,"clear-day",0,0,1011.17,"Clear",58.42,1467424800,8.06,300,11.66
20160702,2016,7,3,56.89,0.15,50.63,0.8,"clear-day",0,0,1011.36,"Clear",56.89,1467428400,7.49,308,9.09
20160702,2016,7,4,54.48,0.15,49.16,0.82,"clear-night",0,0,1011.65,"Clear",54.48,1467432000,8.42,252,6.54
20160702,2016,7,5,54.09,0.15,49.51,0.84,"clear-night",0,0,1011.91,"Clear",54.09,1467435600,8.06,246,6.8
20160702,2016,7,6,53.97,0.15,49.77,0.86,"clear-night",0,0,1012.22,"Clear",53.97,1467439200,7.94,240,5.3
20160702,2016,7,7,53.97,0.15,49.77,0.86,"clear-night",0,0,1012.34,"Clear",53.97,1467442800,7.83,243,6.4
20160702,2016,7,8,53.59,0.31,49.75,0.87,"partly-cloudy-night",0,0,1012.34,"Partly Cloudy",53.59,1467446400,8.15,248,6.59
20160702,2016,7,9,53.26,0.16,49.42,0.87,"clear-night",0,0,1012.38,"Clear",53.26,1467450000,8.08,241,7.52
20160702,2016,7,10,53.3,0.16,49.48,0.87,"clear-night",0,0,1012.43,"Clear",53.3,1467453600,8.15,245,5.49
20160702,2016,7,11,52.9,0.31,49.09,0.87,"partly-cloudy-night",0,0,1012.39,"Partly Cloudy",52.9,1467457200,8.15,245,7.93
20160702,2016,7,12,53.33,0.31,49.14,0.86,"partly-cloudy-night",0,0,1012.55,"Partly Cloudy",53.33,1467460800,8.87,245,6.62
20160702,2016,7,13,53.54,0.31,49.35,0.86,"partly-cloudy-day",0,0,1013.09,"Partly Cloudy",53.54,1467464400,8.3,239,7.03
20160702,2016,7,14,54.32,0.31,49.38,0.83,"partly-cloudy-day",0,0,1013.68,"Partly Cloudy",54.32,1467468000,8.19,246,6.94
20160702,2016,7,15,55.21,0.31,48.99,0.8,"partly-cloudy-day",0,0,1014.26,"Partly Cloudy",55.21,1467471600,8.42,245,7.63
20160702,2016,7,16,57.01,0.31,49.8,0.77,"partly-cloudy-day",0,0,1014.59,"Partly Cloudy",57.01,1467475200,9.32,242,6.59
20160702,2016,7,17,58.56,0.31,50.14,0.74,"partly-cloudy-day",0,0,1014.81,"Partly Cloudy",58.56,1467478800,9.55,193,1.57
20160702,2016,7,18,59.12,0.31,47.48,0.65,"partly-cloudy-day",0,0,1014.98,"Partly Cloudy",59.12,1467482400,9.55,255,2.49
20160702,2016,7,19,61.07,0.31,50.21,0.67,"partly-cloudy-day",0,0,1015.31,"Partly Cloudy",61.07,1467486000,9.8,252,8.65
20160702,2016,7,20,61.12,0.31,48.99,0.64,"partly-cloudy-day",0,0,1015.34,"Partly Cloudy",61.12,1467489600,9.32,242,10.69
20160702,2016,7,21,60.61,0.31,46.88,0.61,"partly-cloudy-day",0,0,1015.08,"Partly Cloudy",60.61,1467493200,9.8,245,11.44
20160702,2016,7,22,67.79,0.31,54.51,0.63,"partly-cloudy-day",0,0,1014.91,"Partly Cloudy",67.79,1467496800,9.8,305,8.63
20160702,2016,7,23,67.01,0.31,54.29,0.64,"partly-cloudy-day",0,0,1014.67,"Partly Cloudy",67.01,1467500400,10,317,6.77
20160703,2016,7,0,60.86,0.31,48.31,0.63,"partly-cloudy-day",0,0,1014.64,"Partly Cloudy",60.86,1467504000,8.87,246,12.27
20160703,2016,7,1,60.37,0.31,50.22,0.69,"partly-cloudy-day",0,0,1014.5,"Partly Cloudy",60.37,1467507600,9.32,306,8.87
20160703,2016,7,2,58.72,0.31,49.8,0.72,"partly-cloudy-day",0,0,1014.34,"Partly Cloudy",58.72,1467511200,9.32,326,7.72
20160703,2016,7,3,56.62,0.31,49.69,0.78,"partly-cloudy-day",0,0,1014.67,"Partly Cloudy",56.62,1467514800,9.55,254,9.33
20160703,2016,7,4,55.6,0.31,50.15,0.82,"partly-cloudy-night",0,0,1014.88,"Partly Cloudy",55.6,1467518400,9.8,259,8.85
20160703,2016,7,5,55.46,0.31,50.63,0.84,"partly-cloudy-night",0,0,1015.25,"Partly Cloudy",55.46,1467522000,9.55,249,8.16
20160703,2016,7,6,56.7,0.31,52.47,0.86,"partly-cloudy-night",0,0,1015.59,"Partly Cloudy",56.7,1467525600,8.03,267,6.94
20160703,2016,7,7,53.87,0.31,50.05,0.87,"partly-cloudy-night",0,0,1015.52,"Partly Cloudy",53.87,1467529200,7.96,251,7
20160703,2016,7,8,54.39,0.31,50.2,0.86,"partly-cloudy-night",0,0,1015.52,"Partly Cloudy",54.39,1467532800,8.03,248,7.11
20160703,2016,7,9,53.69,0.31,49.86,0.87,"partly-cloudy-night",0,0,1015.47,"Partly Cloudy",53.69,1467536400,7.96,257,6.93
20160703,2016,7,10,53.76,0.31,49.93,0.87,"partly-cloudy-night",0,0,1015.47,"Partly Cloudy",53.76,1467540000,7.85,249,6.15
20160703,2016,7,11,53.71,0.31,49.89,0.87,"partly-cloudy-night",0,0,1015.56,"Partly Cloudy",53.71,1467543600,8.03,257,6.1
20160703,2016,7,12,53.58,0.31,49.76,0.87,"partly-cloudy-night",0,0,1015.62,"Partly Cloudy",53.58,1467547200,7.92,258,7.01
20160703,2016,7,13,53.71,0.31,49.87,0.87,"partly-cloudy-day",0,0,1015.93,"Partly Cloudy",53.71,1467550800,7.05,258,5.91
20160703,2016,7,14,53.75,0.31,49.17,0.84,"partly-cloudy-day",0,0,1016.37,"Partly Cloudy",53.75,1467554400,7.28,263,5.86
20160703,2016,7,15,54.77,0.31,49.34,0.82,"partly-cloudy-day",0,0,1016.85,"Partly Cloudy",54.77,1467558000,7.62,258,5.41
20160703,2016,7,16,55.63,0.31,48.99,0.78,"partly-cloudy-day",0,0,1017.4,"Partly Cloudy",55.63,1467561600,9.55,259,6.27
20160703,2016,7,17,57.74,0.31,50.34,0.76,"partly-cloudy-day",0,0,1017.52,"Partly Cloudy",57.74,1467565200,9.8,263,6.29
20160703,2016,7,18,58.81,0.31,50.24,0.73,"partly-cloudy-day",0,0,1017.6,"Partly Cloudy",58.81,1467568800,9.8,275,5.99
20160703,2016,7,19,60.72,0.31,50.28,0.68,"partly-cloudy-day",0,0,1017.63,"Partly Cloudy",60.72,1467572400,9.8,265,7.14
20160703,2016,7,20,60.57,0.24,50.14,0.68,"clear-day",0,0,1017.68,"Clear",60.57,1467576000,9.8,263,7.44
20160703,2016,7,21,60.26,0.31,48.89,0.66,"partly-cloudy-day",0,0,1017.32,"Partly Cloudy",60.26,1467579600,10,266,8.72
20160703,2016,7,22,66.26,0.31,54.2,0.65,"partly-cloudy-day",0,0,1016.93,"Partly Cloudy",66.26,1467583200,9.8,240,10.43
20160703,2016,7,23,67.07,0.31,54.74,0.65,"partly-cloudy-day",0,0,1016.66,"Partly Cloudy",67.07,1467586800,10,315,5.21
20160704,2016,7,0,60.59,0.31,48.86,0.65,"partly-cloudy-day",0,0,1016,"Partly Cloudy",60.59,1467590400,10,322,7.6
20160704,2016,7,1,60.65,0.31,49.56,0.67,"partly-cloudy-day",0,0,1015.79,"Partly Cloudy",60.65,1467594000,10,304,8.58
20160704,2016,7,2,57.52,0.31,48.64,0.72,"partly-cloudy-day",0,0,1015.74,"Partly Cloudy",57.52,1467597600,9.55,254,9
20160704,2016,7,3,56.2,0.31,50.11,0.8,"partly-cloudy-day",0,0,1016.01,"Partly Cloudy",56.2,1467601200,9.55,254,10.65
20160704,2016,7,4,55.91,0.31,51.07,0.84,"partly-cloudy-night",0,0,1016.01,"Partly Cloudy",55.91,1467604800,9.1,255,10.33
20160704,2016,7,5,55.68,0.31,51.09,0.85,"partly-cloudy-night",0,0,1016.46,"Partly Cloudy",55.68,1467608400,8.42,252,10.97
20160704,2016,7,6,55.57,0.31,51.36,0.86,"partly-cloudy-night",0,0,1016.63,"Partly Cloudy",55.57,1467612000,9.1,256,10.1
20160704,2016,7,7,55.37,0.31,51.52,0.87,"partly-cloudy-night",0,0,1016.64,"Partly Cloudy",55.37,1467615600,8.08,244,8.21
20160704,2016,7,8,54.62,0.31,50.78,0.87,"partly-cloudy-night",0,0,1016.43,"Partly Cloudy",54.62,1467619200,8.03,247,8.79
20160704,2016,7,9,54.75,0.31,50.89,0.87,"partly-cloudy-night",0,0,1016.26,"Partly Cloudy",54.75,1467622800,8.08,256,7.6
20160704,2016,7,10,54.78,0.31,50.91,0.87,"partly-cloudy-night",0,0,1016,"Partly Cloudy",54.78,1467626400,8.19,251,6.78
20160704,2016,7,11,54.88,0.31,50.66,0.86,"partly-cloudy-night",0,0,1015.76,"Partly Cloudy",54.88,1467630000,8.19,264,6.84
20160704,2016,7,12,55.38,0.31,51.51,0.87,"partly-cloudy-night",0,0,1015.96,"Partly Cloudy",55.38,1467633600,8.19,265,5.32
20160704,2016,7,13,55.36,0.31,50.88,0.85,"partly-cloudy-day",0,0,1016.32,"Partly Cloudy",55.36,1467637200,8.19,256,6.4
20160704,2016,7,14,55.53,0.31,50.32,0.83,"partly-cloudy-day",0,0,1016.6,"Partly Cloudy",55.53,1467640800,8.19,257,6.27
20160704,2016,7,15,56.39,0.31,50.11,0.79,"partly-cloudy-day",0,0,1016.92,"Partly Cloudy",56.39,1467644400,8.3,259,6.15
20160704,2016,7,16,57.08,0.31,50.56,0.79,"partly-cloudy-day",0,0,1017.09,"Partly Cloudy",57.08,1467648000,9.32,251,6.23
20160704,2016,7,17,58.93,0.31,51.39,0.76,"partly-cloudy-day",0,0,1017.41,"Partly Cloudy",58.93,1467651600,9.55,259,5.24
20160704,2016,7,18,60.97,0.31,51.92,0.72,"partly-cloudy-day",0,0,1017.65,"Partly Cloudy",60.97,1467655200,9.55,252,5.77
20160704,2016,7,19,61.42,0.31,51.26,0.69,"partly-cloudy-day",0,0,1017.75,"Partly Cloudy",61.42,1467658800,9.55,262,8.54
